link,name,latitude,longitude
https://www.google.com/maps/place/Parusu+Kyoto+Nishioji+Gojoten+Seibikojo/data=!4m7!3m6!1s0x600106485cf0debd:0xdc082e05432a22a6!8m2!3d34.9955202!4d135.7312575!16s%2Fg%2F11_r3xt9b!19sChIJvd7wXEgGAWARpiIqQwUuCNw?authuser=0&hl=es-419&rclk=1,Parusu Kyoto Nishioji Gojoten Seibikojo,34.9955202,135.7312575
https://www.google.com/maps/place/Humhumhug+Cycle+Center+Kyoto%28%E4%BA%AC%E9%83%BD%E2%80%A2%E8%87%AA%E8%BB%A2%E8%BB%8A%E4%BF%AE%E7%90%86%E2%80%A2RENTALCYCLE%EF%BC%89/data=!4m7!3m6!1s0x600108814cfa71a3:0x568be601c10aa385!8m2!3d35.0110928!4d135.7567055!16s%2Fg%2F11cntm2sx3!19sChIJo3H6TIEIAWARhaMKwQHmi1Y?authuser=0&hl=es-419&rclk=1,Humhumhug Cycle Center Kyoto(京都•自転車修理•RENTALCYCLE）,35.0110928,135.7567055
https://www.google.com/maps/place/%E6%9D%BE%E9%87%8E%E8%87%AA%E8%BB%A2%E8%BB%8A%E5%95%86%E4%BC%9A/data=!4m7!3m6!1s0x600106448cca43a7:0x5f813c450d5322fc!8m2!3d34.9877797!4d135.7256199!16s%2Fg%2F11hyl5jyn4!19sChIJp0PKjEQGAWAR_CJTDUU8gV8?authuser=0&hl=es-419&rclk=1,松野自転車商会,34.9877797,135.7256199
https://www.google.com/maps/place/%E7%AB%B9%E5%86%85%E8%87%AA%E8%BB%A2%E8%BB%8A%E5%BA%97/data=!4m7!3m6!1s0x600107c97ab0867b:0x88062a38153aaa0b!8m2!3d35.0103024!4d135.7360394!16s%2Fg%2F1tc_8kqr!19sChIJe4aweskHAWARC6o6FTgqBog?authuser=0&hl=es-419&rclk=1,竹内自転車店,35.0103024,135.7360394
https://www.google.com/maps/place/%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E3%81%98%E3%81%A6%E3%82%93%E3%81%97%E3%82%83/data=!4m7!3m6!1s0x600107002ef153bb:0x11016b4468a2925a!8m2!3d34.9948063!4d135.712229!16s%2Fg%2F12m95g4_p!19sChIJu1PxLgAHAWARWpKiaERrARE?authuser=0&hl=es-419&rclk=1,みんなのじてんしゃ,34.9948063,135.712229
https://www.google.com/maps/place/Fun+Cycling+%E4%BA%AC%E9%83%BD%EF%BC%88%E8%87%AA%E8%BB%A2%E8%BB%8A%E8%B2%A9%E5%A3%B2%E3%83%BB%E4%BF%AE%E7%90%86%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x6001078756098625:0x659596a6057f1920!8m2!3d34.9790612!4d135.7073032!16s%2Fg%2F11jncnxtgc!19sChIJJYYJVocHAWARIBl_BaaWlWU?authuser=0&hl=es-419&rclk=1,Fun Cycling 京都（自転車販売・修理店）,34.9790612,135.7073032
https://www.google.com/maps/place/Iwai+Cycle+Kizuyabashi/data=!4m7!3m6!1s0x6001061c53c39531:0xcdfb6f83f1804a3b!8m2!3d34.9873693!4d135.7495168!16s%2Fg%2F11b5pjmx2n!19sChIJMZXDUxwGAWARO0qA8YNv-80?authuser=0&hl=es-419&rclk=1,Iwai Cycle Kizuyabashi,34.9873693,135.7495168
https://www.google.com/maps/place/Kyubee+Hakubaicho/data=!4m7!3m6!1s0x600107948375c25d:0x60e12a9ec90a7f2e!8m2!3d35.0251078!4d135.731309!16s%2Fg%2F1tcwlgcw!19sChIJXcJ1g5QHAWARLn8KyZ4q4WA?authuser=0&hl=es-419&rclk=1,Kyubee Hakubaicho,35.0251078,135.731309
https://www.google.com/maps/place/Ryou+Cycle/data=!4m7!3m6!1s0x6001072dd7121cd1:0xe9be542eca9e06a7!8m2!3d34.9975967!4d135.7519487!16s%2Fg%2F11ckvv9b9v!19sChIJ0RwS1y0HAWARpwaeyi5Uvuk?authuser=0&hl=es-419&rclk=1,Ryou Cycle,34.9975967,135.7519487
https://www.google.com/maps/place/Cycle+Base+Asahi+Kuj%C5%8D/data=!4m7!3m6!1s0x600108acb31b08f7:0xd17b5e6efa6053f5!8m2!3d34.9797389!4d135.7576146!16s%2Fg%2F11c5_k9jxk!19sChIJ9wgbs6wIAWAR9VNg-m5ee9E?authuser=0&hl=es-419&rclk=1,Cycle Base Asahi Kujō,34.9797389,135.7576146
